| end of split  67 /100 | epoch   2 | time: 964.05s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  68 /100 | epoch   2 | time: 963.53s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  69 /100 | epoch   2 | time: 963.05s | valid loss  1.07 | valid ppl     2.93 | learning rate 5.00
| end of split  70 /100 | epoch   2 | time: 964.19s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  71 /100 | epoch   2 | time: 963.68s | valid loss  1.07 | valid ppl     2.93 | learning rate 5.00
| end of split  72 /100 | epoch   2 | time: 963.79s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  73 /100 | epoch   2 | time: 964.15s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  74 /100 | epoch   2 | time: 971.58s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  75 /100 | epoch   2 | time: 964.18s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  76 /100 | epoch   2 | time: 970.18s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  77 /100 | epoch   2 | time: 963.55s | valid loss  1.08 | valid ppl     2.93 | learning rate 5.00
| end of split  78 /100 | epoch   2 | time: 963.29s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  79 /100 | epoch   2 | time: 962.89s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  80 /100 | epoch   2 | time: 963.68s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  81 /100 | epoch   2 | time: 963.43s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  82 /100 | epoch   2 | time: 963.32s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  83 /100 | epoch   2 | time: 963.16s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  84 /100 | epoch   2 | time: 964.31s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  85 /100 | epoch   2 | time: 964.18s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  86 /100 | epoch   2 | time: 963.51s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  87 /100 | epoch   2 | time: 964.28s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  88 /100 | epoch   2 | time: 963.98s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  89 /100 | epoch   2 | time: 963.63s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  90 /100 | epoch   2 | time: 964.24s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  91 /100 | epoch   2 | time: 964.03s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  92 /100 | epoch   2 | time: 963.44s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  93 /100 | epoch   2 | time: 963.97s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  94 /100 | epoch   2 | time: 964.34s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  95 /100 | epoch   2 | time: 963.28s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  96 /100 | epoch   2 | time: 975.00s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  97 /100 | epoch   2 | time: 974.65s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split  98 /100 | epoch   2 | time: 969.87s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  99 /100 | epoch   2 | time: 963.40s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split 100 /100 | epoch   2 | time: 972.29s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
