| end of split  58 /100 | epoch   1 | time: 989.34s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  59 /100 | epoch   1 | time: 991.24s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  60 /100 | epoch   1 | time: 995.65s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  61 /100 | epoch   1 | time: 983.21s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  62 /100 | epoch   1 | time: 990.10s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  63 /100 | epoch   1 | time: 993.04s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  64 /100 | epoch   1 | time: 1023.63s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  65 /100 | epoch   1 | time: 985.44s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  66 /100 | epoch   1 | time: 992.96s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  67 /100 | epoch   1 | time: 982.96s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  68 /100 | epoch   1 | time: 995.73s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  69 /100 | epoch   1 | time: 996.31s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  70 /100 | epoch   1 | time: 996.56s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  71 /100 | epoch   1 | time: 995.13s | valid loss  1.17 | valid ppl     3.22 | learning rate 20.00
| end of split  72 /100 | epoch   1 | time: 1013.76s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  73 /100 | epoch   1 | time: 981.67s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  74 /100 | epoch   1 | time: 981.46s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  75 /100 | epoch   1 | time: 993.19s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  76 /100 | epoch   1 | time: 1022.80s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  77 /100 | epoch   1 | time: 982.06s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  78 /100 | epoch   1 | time: 1000.20s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  79 /100 | epoch   1 | time: 982.71s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  80 /100 | epoch   1 | time: 997.60s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  81 /100 | epoch   1 | time: 985.37s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  82 /100 | epoch   1 | time: 994.16s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  83 /100 | epoch   1 | time: 997.28s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
